"First Name","Last Name","Phone Number","Notes"
"REVR - Reverie","28. Bedding- ADJ base Services ","918009738374",""
"CB ANS Mach Script","01. Transfer to","8666    ",""
"OLS","02. Transfer to","8643    ",""
"Spanish","03. Transfer to","8665    ",""
"Furniture.com","04. Transfer to","8669    ",""
"Corporate Receptionist","05. Transfer to","3145    ",""
"ROUTES 100 - 399 and 430 - 999","06. Delivery FL SEIDS","26767    ",""
"ROUTES 400 - 429 FL","07. Delivery FL FGO","6343    ",""
"Routes 100 - 799 and 900- 999 EXCEPT 350-359 (i95)","08. Delivery SE SEIDS","26767    ",""
"Routes 800 - 825","09. Delivery SE FGO","26768    ",""
"Routes 450 - 899, 980-999","10. Delivery TX SEIDS","26767    ",""
"Routes 100-199, 300-449, 900 - 949","11. Delivery TX JB Hunt","27649    ",""
"Routes 200 - 249","12. Delivery TX FGO","5728   ",""
"whse 99 - Lakeland - all","13. CPU - FL","6939    ",""
"whse 39 - Pearl River - all","14. CPU - FL","8804    ",""
"whse 0 - Suwanee - ADULT","15. CPU - SE","5621    ",""
"whse 20 - Suwanee - KIDS","16. CPU - SE","5995    ",""
"whse 79 - Dunn - all","17. CPU - SE","83577    ",""
"whse 99 - Lebanon - all ","18. CPU- SE","7349    ",""
"whse 0 - Arlington - all","19. CPU - TX","7051    ",""
"whse 99 - Katy - all","20. CPU - TX","7527    ",""
"File a Claim","21. ESC - Fortegra","918888358740",""
"File a Claim","22. ESC - Guardian","918776802620",""
"Synchrony","23. Finance CO","918666640968",""
"RAC","24. Finance Co","918886722411",""
"TEPP - Tempurpedic","25. Bedding- ADJ base Services ","918008216621",""
"FGRP - Leggett and Platt","26. Bedding- ADJ base Services ","918008883078",""
"SERM - Serta","27. Bedding- ADJ base Services ","918885503746",""
"SELY - Sealy","29. Bedding- ADJ base Services ","918004991965",""
"BEDG -BedGear Protectors and Encasements","30. Protector Services","918005457125",""
"Routes 880-899","10a. Delivery SE FIDELITONE","916152431491",""
"AHM - Gulf Coast SE Region SVC Co.","31.AHM - Gulf Coast SE Region SVC Co","918329044960",""
