"First Name","Last Name","Phone Number","Notes"
"Spanish","01. CB Ans Machine Script","8667",""
"ONLINE SUPPORT","02. Transfer to ","8643",""
"English","03. Transfer to","8640",""
"Furniture.com","04. Furniture.com","8669",""
"Corporate Receptionist","05. Transfer to","3145",""
"ROUTES 100 - 399 and 430 - 999","06. Delivery FL SEIDS","26767",""
"ROUTES 400 - 429 FL","07. Delivery FL FGO","6343",""
"Routes 100 - 799 and 900- 999 EXCEPT 350-359 (i95)","08. SE DELIV SEIDS","26767",""
"Routes 800 - 825","09. Delivery SE FGO","26768",""
"Routes 450 - 899, 960-999","10. TX DELIV SEIDS","26767",""
"Routes 100-199, 300-449, 900 - 949","11. TX DELIV JBHunt","27649",""
"Routes 200 - 249","12. Delivery TX FGO","7002",""
"Whse 99 - Lakeland","13. CPU - FL Adult","6939",""
"whse 39 - Pearl River","14. CPU - FL Adult","8804",""
"whse 0 Seffner","15. CPU - FL Kids","3602",""
"Whse 0 Suwanee","16. CPU - SE Adult","5621",""
"Whse 79 Dunn","17. CPU - SE Adult","83577",""
"Whse 20 Suwanee","18. CPU - SE Kids","5995",""
"whse 99 - Lebanon - all ","19. CPU- SE","7349",""
"Whse 0 Arlington","20. CPU - TX Adult and Kids","7051",""
"Whse 99 Katy","21. CPU - TX Adult and Kids","7527",""
"Synchrony (RGE)","22. Finance CO","918666640968",""
"RAC","23. Finance Co","918886722411",""
"File a Claim","24. Fortegra","918888358740",""
"File a Claim","25. Guardian","918776802620",""
"Adj Base Services","26. Tempurpedic (TEPP)","918008216621",""
"Adj Base Services","27. Leggett & Platt (FGRP)","918008883078",""
"SERM - Serta","28. Bedding- ADJ base Services ","918885503746",""
"REVR - Reverie","29. Bedding- ADJ base Services ","918009738374",""
"SELY - Sealy","30. Bedding- ADJ base Services ","918004991965",""
"BEDG -BedGear Protectors and Encasements","31. Protector Services","918005457125",""
"Routes 880-899","09a. Delivery SE FIDELITONE","916152431491",""
"AHM - Gulf Coast SE Region SVC Co","31.AHM - Gulf Coast SE Region SVC Co","918329044960",""
